word,total letters,total occurrences
sent,5594,6219
save,5347,6188
reach,5627,6139
smell,5111,6132
fill,5529,6122
wall,5244,6118
explain,5560,6115
brown,5084,6091
distanc,5503,6089
red,5440,6074
stomach,5762,6043
ruin,5517,6024
didnt,4602,5987
closer,5175,5976
liter,5647,5943
step,5071,5928
safe,5316,5878
cuddl,5369,5846
outsid,5360,5828
five,5070,5802
rain,4636,5770
pray,4816,5740
quiet,5193,5721
doubt,5225,5721
especi,5482,5713
swear,5354,5708
slowli,5184,5665
eachoth,4485,5629
surpris,5135,5616
set,5186,5592
busi,5087,5572
straight,5199,5552
sun,4847,5532
brain,4869,5526
hide,4967,5506
becam,4710,5499
wast,5016,5487
choos,4590,5486
mistak,4810,5472
simpli,5051,5430
young,4750,5421
upset,4731,5418
somewher,5074,5407
follow,4806,5401
free,4759,5399
green,4658,5374
middl,4973,5364
given,4994,5356
quick,5033,5342
incred,4905,5337
definit,4956,5332
wors,4931,5320
christma,4256,5304
fast,4934,5298
whisper,4795,5297
sex,4185,5256
cheek,4725,5228
situat,4813,5215
somebodi,4292,5207
lucki,4665,5163
written,4724,5153
idiot,4580,5128
terribl,4745,5116
drink,4438,5115
realiti,4629,5098
skin,4526,5090
color,4266,5087
weekend,4497,5074
certain,4655,5057
caught,4740,5053
cut,4488,5037
soft,4534,5035
drop,4699,5031
confid,4570,5015
bother,4552,5002
physic,4566,4966
stuck,4646,4954
scream,4507,4952
age,4331,4940
woman,4063,4935
nobodi,4227,4921
reject,4336,4921
awesom,4419,4898
glanc,4503,4897
angri,4130,4857
human,4257,4856
mile,4401,4848
forward,4484,4843
besid,4545,4841
return,4491,4819
chat,4242,4815
drunk,4099,4804
shirt,4101,4797
consid,4512,4777
top,4424,4767
although,4392,4755
empti,4303,4727
mouth,4330,4716
fault,4131,4706
dad,3646,4686
check,4077,4680
depress,4075,4665
older,4184,4664
describ,4279,4663
appreci,4257,4660
cross,4334,4648
stranger,4038,4622
univers,4105,4609
comment,4030,4604
taken,4321,4593
page,3839,4573
respond,4022,4566
lead,4186,4555
throw,4298,4543
fallen,4018,4537
super,4133,4534
gotten,4321,4533
eventu,4201,4521
fit,4131,4514
wrap,4217,4465
group,3688,4453
experi,4017,4450
ear,3954,4436
wow,4095,4433
express,4090,4425
passion,3984,4418
forc,4093,4414
lol,3781,4404
dress,3742,4403
note,3821,4393
fix,3795,4385
howev,4045,4381
respect,3826,4380
hello,4020,4373
forgiv,3660,4371
connect,3866,4366
huge,4145,4349
gorgeous,4078,4343
blush,3948,4341
allow,3888,4336
hopeless,4006,4325
sky,3755,4320
loud,4042,4315
confess,3819,4300
fair,3786,4293
teas,3855,4270
will,3867,4260
lunch,3652,4259
mention,3942,4240
ive,3431,4234
bore,3887,4227
woke,3939,4225
convinc,3917,4225
realis,3573,4223
burn,3667,4222
control,3773,4221
choic,3710,4220
horribl,3892,4207
despit,3793,4201
direct,3935,4201
websit,3803,4187
strang,3817,4187
terrifi,3716,4166
million,3904,4165
onlin,3628,4158
count,3872,4157
screw,3664,4140
feet,3875,4136
black,3626,4134
haha,3543,4120
advic,3686,4097
fail,3760,4096
wont,3511,4080
avoid,3647,4078
grab,3710,4076
valentin,3273,4068
your,3041,4065
fool,3638,4063
handl,3725,4058
apolog,3501,4041
prom,3109,4026
coffe,3300,4022
none,3761,4013
tast,3651,4011
easier,3753,3982
desper,3724,3969
jump,3635,3958
list,3241,3957
harder,3538,3929
till,3569,3914
lean,3510,3901
teacher,3160,3895
hadn,3473,3883
water,3255,3878
mother,3239,3871
aliv,3552,3864
ach,3479,3840
silenc,3449,3832
band,3080,3832
biggest,3659,3832
ride,3274,3815
tight,3554,3814
job,3381,3813
graduat,3310,3798
studi,3294,3785
ridicul,3565,3782
selfish,3409,3777
easili,3565,3761
case,3549,3750
basic,3541,3746
space,3396,3742
charm,3448,3720
imposs,3495,3718
finish,3399,3715
melt,3533,3703
p.s,3669,3687
onto,3462,3667
hallway,3378,3660
sigh,3492,3659
town,3271,3642
earth,3449,3637
shake,3296,3633
natur,3371,3632
ran,3224,3628
insan,3403,3624
forgot,3330,3622
affect,3342,3612
wave,3003,3611
white,3183,3608
excus,3388,3601
slow,3261,3599
bright,3352,3595
genuin,3384,3588
air,3289,3581
bus,2614,3580
